timestamp,mac_address,ssid,freq,signal,vendor_name,guessed_name,first_seen,last_seen,seen_count,num_disconnects,avg_connection_duration,mobility_score,heat_score
2025-04-10T16:17:19.902516+00:00,80,NOLA IS THAT GIRL:42\:75\:C3\:CC\:D9\,2437 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,83,:42\:75\:C3\:CC\:D9\,2437 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,85,:42\:75\:C3\:CC\:D9\,2437 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,F9,yasss:72\:13\:01\:7A\:65\,2462 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,FA,:72\:13\:01\:7A\:65\,2462 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,3,0,3.37,0,0.25
2025-04-10T16:17:19.902516+00:00,FC,:72\:13\:01\:7A\:65\,2462 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,FE,:72\:13\:01\:7A\:65\,2462 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,FD,:72\:13\:01\:81\:65\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,FF,:72\:13\:01\:81\:65\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
2025-04-10T16:17:19.902516+00:00,89,NOLA IS THAT GIRL:42\:75\:C3\:D3\:D9\,5220 MHz,100,Unknown Vendor,Unknown Device,2025-04-10T16:16:58.405778+00:00,2025-04-10T16:17:19.902516+00:00,2,0,5.05,0,0.333
